distance_km,duration_min,traffic_level,hour,passenger_count,fare
13.4,33,2,12,1,466
5.1,20,3,18,4,286
1.3,7,1,13,1,98
4.3,23,3,9,1,227
15.1,44,2,11,1,531
18.9,63,3,7,1,673
9.3,43,3,18,1,394
9.1,24,2,14,2,349
19.7,40,1,6,1,622
7.1,17,1,5,1,260
11.5,24,1,16,3,421
17.4,32,1,23,1,552
19.4,48,2,10,2,651
17.0,54,2,12,1,609
5.1,10,1,10,2,219
7.5,24,2,9,1,312
13.4,54,3,10,2,540
13.9,32,1,23,4,492
9.2,25,2,20,1,350
6.8,16,1,19,1,268
2.5,9,2,21,2,149
18.3,47,2,23,1,611
2.8,10,3,15,1,180
19.8,53,2,21,1,669
7.3,22,2,6,2,311
6.3,20,2,9,2,289
14.2,44,2,17,2,526
7.1,27,3,9,3,337
13.2,59,3,18,1,529
15.5,37,1,11,1,507
15.6,27,1,21,1,496
3.9,14,2,10,1,207
12.5,31,2,19,1,454
4.5,21,3,23,1,240
19.4,56,2,11,1,676
11.4,53,3,8,1,468
9.4,16,1,21,1,321
7.5,16,1,5,1,264
5.1,22,3,15,3,268
6.3,17,2,20,1,250
2.3,7,1,13,1,125
15.7,33,1,12,1,512
2.9,8,2,20,1,150
9.0,22,2,16,1,350
2.1,5,2,21,2,151
1.6,12,3,17,1,145
14.9,61,3,8,2,591
16.4,38,2,10,2,558
3.4,10,1,19,1,156
6.8,33,3,17,2,324
7.7,24,2,6,1,320
15.1,37,2,17,1,529
5.9,25,3,7,1,284
7.0,21,2,7,1,279
9.3,23,1,19,3,348
19.6,41,1,6,2,641
19.1,75,3,9,2,716
13.2,35,2,16,2,491
7.9,34,3,7,2,354
3.0,9,2,10,1,157
9.4,27,2,14,4,379
4.1,17,3,19,2,236
14.4,27,1,22,3,499
13.0,58,3,16,1,533
1.3,3,1,22,1,103
2.1,12,3,17,2,179
2.2,7,2,15,1,148
15.8,34,1,23,4,537
3.2,8,2,9,1,177
10.8,29,2,14,1,389
6.6,15,1,22,2,252
12.8,29,2,15,2,447
13.1,26,1,23,1,423
17.9,37,1,22,4,611
6.5,28,3,7,1,300
3.6,8,2,15,3,193
11.6,22,1,15,1,378
19.0,55,2,18,3,677
6.8,19,2,10,1,267
18.9,46,2,21,1,629
12.3,26,1,20,1,409
7.8,20,2,17,1,306
2.2,8,2,21,2,154
3.3,13,2,8,2,195
4.6,17,2,21,1,226
10.8,47,3,9,1,441
19.8,52,2,14,1,671
9.9,19,1,5,2,358
14.7,30,1,5,1,484
5.2,12,1,6,1,217
3.6,8,1,12,3,177
3.7,12,2,11,2,202
2.0,8,3,9,2,158
19.2,82,3,19,1,734
13.2,39,2,13,1,471
19.5,48,2,14,2,663
11.6,25,1,13,2,402
7.4,19,2,9,1,292
5.7,14,1,20,3,240
2.9,6,1,23,1,133
2.7,6,2,15,1,151
18.6,74,3,18,3,724
6.3,21,2,14,3,290
14.7,33,2,6,1,514
19.9,71,3,17,1,719
1.5,5,2,14,1,129
11.2,43,3,20,1,458
7.1,37,3,19,2,342
13.7,26,1,11,3,470
2.5,8,2,8,1,143
5.3,18,3,13,1,257
14.1,43,2,6,1,519
17.8,41,2,14,2,600
19.2,36,1,20,2,618
9.8,26,2,22,3,389
15.9,49,2,21,2,565
11.3,27,1,21,2,400
13.9,26,1,23,3,466
8.8,18,1,23,1,309
16.5,44,2,11,1,582
18.7,79,3,7,1,702
13.1,38,2,18,3,491
2.3,10,1,22,3,150
3.2,9,2,12,2,183
8.9,38,3,17,1,394
14.7,31,1,8,2,504
5.4,17,2,7,1,228
15.0,38,2,17,2,522
19.9,56,2,12,2,694
7.0,28,3,14,4,341
11.5,30,2,23,3,437
19.5,77,3,17,1,724
15.3,26,1,20,1,489
1.9,10,3,18,2,155
13.2,45,3,19,1,499
13.7,35,2,6,1,484
10.0,21,1,15,3,373
15.1,53,3,20,2,572
7.0,20,2,14,2,295
10.3,36,3,8,2,417
6.8,15,1,6,1,265
11.9,36,2,18,1,433
11.4,21,1,15,3,402
4.0,15,2,16,2,211
13.1,31,1,6,3,454
0.9,3,3,9,1,114
8.0,22,2,20,1,302
14.7,51,3,22,1,562
18.3,82,3,8,2,711
7.6,15,1,17,4,310
6.6,22,3,7,3,311
11.4,28,1,6,2,409
7.2,36,3,8,3,362
11.7,23,1,13,1,395
1.4,7,1,15,1,112
18.6,33,1,14,1,596
7.2,38,3,9,2,347
2.7,11,2,12,1,157
15.7,30,1,5,2,519
8.0,26,2,10,2,339
14.5,34,2,7,1,498
7.7,16,1,7,1,271
4.4,21,3,19,1,238
12.3,52,3,15,1,502
11.5,31,2,12,1,415
10.3,32,2,7,1,388
18.9,56,2,20,1,665
7.2,34,3,17,1,342
19.5,48,2,9,2,656
8.4,18,1,15,2,305
8.0,27,2,17,3,336
15.5,55,3,5,1,577
14.1,60,3,18,1,549
8.9,18,1,17,4,344
18.5,79,3,18,2,716
13.1,32,2,7,1,464
11.6,38,3,17,1,441
5.1,16,2,21,2,239
13.8,27,1,21,4,494
2.4,8,2,9,1,142
2.7,7,2,19,1,160
13.2,52,3,10,2,525
9.0,28,2,19,1,349
1.4,5,2,11,1,110
14.3,54,3,7,2,553
3.0,10,2,20,2,177
7.5,27,3,19,2,339
2.4,9,2,9,1,139
8.3,34,3,9,1,371
18.7,55,2,10,1,646
1.8,10,3,16,1,151
13.3,45,3,18,1,497
1.4,3,1,12,1,95
15.1,47,2,20,1,549
7.8,24,2,6,1,319
13.4,26,1,12,4,480
9.2,33,3,8,1,377
14.4,41,2,18,1,501
7.5,18,2,13,1,295
19.1,95,3,21,2,769
18.4,60,3,13,1,670
16.7,73,3,17,2,657
13.0,35,2,7,2,474
10.2,21,1,23,2,361
13.6,59,3,16,2,561
10.3,28,2,15,1,383
7.4,12,1,6,2,284
3.8,11,1,19,4,193
13.3,64,3,10,3,555
13.6,27,1,10,2,457
2.6,6,1,8,1,136
1.0,3,2,15,4,121
8.2,24,2,8,1,331
17.6,32,1,9,2,565
4.9,20,3,9,2,267
3.5,12,3,8,1,188
6.1,16,2,7,2,275
1.3,5,1,14,2,111
15.8,42,2,12,1,550
19.6,65,3,16,1,702
13.9,69,3,20,2,575
1.6,8,2,6,1,132
8.9,17,1,17,2,317
10.6,46,3,11,1,448
13.3,30,2,7,1,456
18.6,81,3,8,2,728
3.1,12,3,9,1,193
14.6,36,2,10,2,508
18.1,57,2,15,1,638
2.3,8,3,19,1,150
15.6,36,2,23,1,541
1.0,7,1,6,1,103
11.4,27,2,18,1,417
11.8,57,3,8,3,526
19.1,65,3,7,3,703
9.6,29,2,16,2,377
12.2,44,3,20,2,495
3.7,10,1,18,2,166
7.2,36,3,17,2,341
10.2,43,3,6,1,420
17.0,52,3,18,1,604
3.4,11,1,17,2,166
5.8,20,3,15,1,269
5.3,11,1,11,2,218
6.8,31,3,8,4,341
3.1,10,2,10,1,161
17.2,35,1,9,1,559
5.8,14,1,10,1,222
9.7,23,2,9,1,351
8.5,28,3,7,1,343
18.1,62,3,19,1,652
18.9,33,1,6,2,592
13.9,40,2,10,3,509
12.6,30,2,12,1,435
8.2,23,2,18,3,348
16.1,61,3,17,1,619
10.4,25,2,17,1,387
6.2,18,2,20,2,261
13.4,35,2,13,2,496
11.9,28,2,17,3,446
16.3,60,3,16,1,614
11.6,28,2,11,2,418
1.5,3,1,6,1,109
4.7,15,2,9,1,207
3.6,16,3,9,3,224
18.9,83,3,17,1,729
9.2,23,2,20,1,356
15.9,45,2,12,2,563
4.2,16,2,5,3,238
1.4,9,3,15,4,178
3.5,14,2,7,4,206
14.4,40,2,15,1,504
2.9,6,1,5,1,137
17.7,71,3,16,1,673
14.0,42,2,10,2,508
2.8,7,1,15,1,149
2.6,9,2,20,1,151
1.8,7,1,15,1,120
5.9,14,1,14,1,230
1.8,6,1,5,1,105
1.3,4,2,10,4,147
9.8,24,1,13,2,355
9.4,24,2,13,1,345
14.2,30,1,8,1,472
11.4,46,3,17,1,461
17.7,29,1,20,1,557
10.7,34,2,23,2,408
19.7,55,2,11,1,671
19.9,66,3,9,1,704
8.3,35,3,17,3,371
14.2,27,1,23,1,466
15.4,74,3,8,2,629
7.4,20,2,18,2,297
8.5,17,1,17,3,327
18.5,37,1,16,2,601
14.2,63,3,8,1,573
7.0,32,3,18,1,322
10.1,38,3,21,3,429
10.5,39,3,9,2,445
4.7,11,1,6,1,189
16.6,40,2,21,3,585
9.4,31,2,20,1,373
14.0,27,1,14,1,452
5.0,13,2,12,1,228
15.5,35,1,5,1,506
12.5,38,2,14,2,477
9.6,24,2,11,2,358
10.6,48,3,16,2,456
7.3,23,2,13,3,328
6.5,36,3,9,1,327
8.6,25,2,15,2,339
8.8,31,3,17,2,373
14.5,25,1,22,1,463
4.1,10,1,22,1,185
15.4,55,3,10,3,593
17.5,76,3,18,1,683
9.8,19,1,23,2,339
13.9,24,1,21,1,443
8.7,29,2,23,4,368
2.4,6,2,15,1,137
15.4,39,2,10,1,524
9.1,24,2,18,4,368
8.0,20,2,5,2,308
14.9,44,2,12,1,533
4.0,10,1,6,1,171
17.8,48,2,9,3,642
18.4,30,1,17,1,564
10.5,35,2,8,2,407
11.1,27,1,6,1,376
3.0,8,2,19,2,176
12.9,35,2,14,1,467
8.8,41,3,8,2,397
12.5,35,2,13,4,474
11.3,31,2,11,1,405
2.9,11,2,23,1,170
2.7,7,2,13,1,141
16.4,41,2,6,1,553
17.1,31,1,6,1,554
19.1,63,3,13,1,686
19.3,51,2,13,2,674
4.0,13,3,9,1,209
12.1,33,2,23,1,427
13.9,46,3,9,1,514
13.4,34,2,5,2,485
19.6,49,2,15,2,673
10.1,25,2,17,3,381
18.7,42,2,21,3,641
5.4,11,1,13,1,206
9.6,18,1,23,3,351
13.3,37,2,8,1,484
19.3,69,3,14,2,712
16.6,41,2,12,1,572
7.8,23,2,19,2,329
19.3,60,2,14,1,672
16.6,51,2,18,2,594
9.6,29,2,11,1,376
12.1,50,3,19,2,486
14.9,40,2,22,3,553
4.2,12,1,23,2,197
7.0,18,2,17,2,289
7.4,23,2,14,1,307
6.5,17,2,22,2,269
12.8,40,2,14,3,501
4.2,14,2,22,1,203
11.8,48,3,18,3,494
1.0,3,1,8,1,92
3.9,15,2,14,1,190
11.2,39,3,16,1,452
15.1,29,1,22,1,495
1.7,5,2,17,4,154
1.0,4,1,13,3,101
13.0,50,3,16,2,531
6.4,23,3,10,1,282
1.6,5,2,13,1,116
14.4,29,1,9,3,496
17.0,49,2,14,2,599
5.0,17,2,10,2,237
7.5,25,2,11,1,310
9.9,33,2,22,4,412
18.2,80,3,12,2,721
8.2,24,2,22,1,323
10.6,24,1,20,3,399
4.0,11,1,22,2,180
14.0,35,2,8,3,508
16.5,65,3,7,1,618
1.8,6,2,13,2,134
12.9,37,2,18,1,472
2.0,6,1,23,3,132
14.0,41,2,7,3,511
3.8,9,1,12,1,179
3.6,12,3,16,1,188
11.8,53,3,17,3,516
7.4,35,3,18,3,363
5.7,17,2,8,2,267
19.9,70,3,19,1,715
11.9,34,2,15,2,435
4.5,15,2,20,2,224
7.8,36,3,15,1,357
13.1,35,2,13,1,467
7.7,19,2,14,1,295
16.7,33,1,22,2,558
17.1,40,2,5,2,576
5.8,12,1,22,2,241
14.9,33,1,14,1,482
5.4,18,2,10,1,243
17.5,72,3,9,1,666
2.0,9,2,16,2,145
18.4,43,1,6,2,614
6.1,18,2,13,2,271
18.0,59,3,7,1,649
17.5,57,2,20,3,640
5.2,16,2,21,1,237
3.1,12,2,12,1,171
12.1,22,1,18,1,405
1.6,5,1,23,1,103
19.4,49,2,5,2,656
12.4,43,3,20,1,488
16.6,50,2,10,1,595
12.3,36,2,7,1,458
10.5,51,3,18,2,462
17.7,33,1,22,1,566
16.7,84,3,18,1,664
16.2,40,2,17,2,567
9.0,22,2,13,1,348
8.6,21,1,11,2,322
8.0,22,2,11,1,318
5.7,15,1,22,1,234
8.7,17,1,22,1,302
7.4,29,3,17,3,347
14.2,28,1,10,1,469
13.9,30,1,6,4,484
18.6,38,1,18,1,601
18.7,66,3,17,2,705
16.5,43,2,20,1,563
1.4,4,2,21,1,107
0.8,5,1,10,1,83
4.6,15,2,5,1,223
18.4,55,2,16,2,649
8.6,18,1,5,1,301
19.0,64,3,21,3,713
19.3,41,1,23,1,624
18.0,38,1,5,1,574
14.3,39,2,15,1,500
6.3,35,3,17,3,332
7.6,18,1,23,3,301
4.6,22,3,12,1,247
3.8,11,2,8,1,175
17.3,51,2,6,1,614
11.8,27,2,13,4,442
11.9,19,1,6,1,387
17.3,45,2,10,1,581
13.7,50,3,17,1,529
5.4,26,3,20,1,270
15.2,69,3,16,1,605
5.2,23,3,8,2,264
16.2,64,3,9,1,627
12.9,37,2,22,2,478
8.4,19,1,10,2,312
7.2,18,2,16,2,294
7.5,23,2,11,2,308
7.0,17,2,21,2,284
12.9,42,3,9,2,504
8.6,20,1,7,1,315
12.4,29,2,17,1,440
19.3,56,2,18,3,679
15.1,48,2,7,1,543
1.8,12,3,17,4,174
18.7,54,2,17,1,637
16.9,32,1,5,1,541
17.5,41,2,13,1,592
9.6,22,1,23,2,349
5.2,16,2,7,1,220
16.5,54,2,9,1,601
10.0,28,2,5,2,387
4.4,11,1,22,1,195
5.0,16,2,7,1,234
13.9,39,2,14,2,495
3.4,18,3,8,2,209
1.2,5,3,6,1,116
9.2,18,1,5,1,316
16.1,70,3,16,2,648
1.9,8,1,17,1,126
16.7,71,3,8,2,648
19.9,54,2,11,2,685
13.9,51,3,14,1,536
3.1,11,2,20,1,163
3.0,9,2,18,1,170
1.0,3,1,6,2,102
5.6,14,1,20,2,236
1.9,10,3,9,2,174
15.9,74,3,16,1,627
3.4,10,1,6,1,153
4.4,13,2,16,1,215
3.9,9,1,21,1,159
13.1,48,3,17,3,531
7.0,30,3,7,2,330
11.4,26,1,14,2,392
16.8,49,2,9,1,577
13.1,46,3,17,2,511
12.4,26,1,7,3,445
9.8,20,1,6,2,357
1.9,5,2,13,2,131
10.8,51,3,8,2,461
12.8,33,2,10,2,468
13.8,64,3,18,1,554
3.8,19,3,19,3,246
8.7,40,3,18,1,380
11.4,25,2,13,1,394
6.3,14,1,5,4,264
17.2,43,2,5,3,606
11.8,23,1,23,1,393
12.0,24,1,12,1,396
2.3,9,2,15,1,147
18.2,38,1,14,2,606
7.2,17,2,18,3,308
12.4,29,1,5,2,429
11.6,38,2,15,1,433
9.4,20,1,23,1,321
2.4,9,2,23,2,156
14.2,59,3,9,1,559
19.9,35,1,21,1,633
2.5,10,2,18,1,141
6.7,27,3,16,4,326
16.5,39,2,11,1,566
5.5,31,3,9,3,295
9.4,21,1,5,2,348
11.3,50,3,9,2,478
5.7,10,1,6,2,231
1.0,5,3,17,2,121
6.4,14,2,17,1,254
17.4,31,1,22,1,557
1.6,3,1,21,1,105
7.6,18,1,14,4,314
17.7,50,2,5,3,630
3.4,14,3,17,2,206
11.8,51,3,18,3,495
3.5,13,2,22,1,193
18.3,88,3,18,4,759
6.9,18,1,22,2,265
1.4,8,3,15,1,146
18.0,37,1,13,1,591
12.6,25,1,23,2,420
15.8,55,3,9,2,608
10.2,31,2,9,1,397
19.0,44,2,12,4,673
19.7,46,2,20,3,681
12.5,41,3,17,1,480
13.1,22,1,6,1,438
10.8,47,3,17,1,460
4.4,12,2,19,1,202
12.6,35,2,6,3,465
10.4,25,2,10,3,398
9.5,25,2,10,3,368
7.0,22,2,10,1,286
10.9,40,3,17,4,469
1.6,6,3,10,2,156
4.2,9,1,6,1,181
3.1,10,3,9,1,182
10.4,24,1,5,1,362
9.3,19,1,5,2,343
1.7,4,1,9,1,107
12.4,49,3,15,1,497
12.5,35,2,23,1,463
2.6,8,1,14,3,164
2.0,7,1,20,2,130
14.2,30,1,6,2,480
14.0,41,2,14,3,525
18.6,38,1,23,2,615
5.3,29,3,14,1,266
17.1,45,2,18,1,576
4.7,12,1,14,1,203
3.0,5,1,15,2,142
7.1,27,3,15,1,308
3.8,19,3,19,2,226
15.1,32,1,21,2,499
14.0,25,1,16,1,452
11.1,31,2,10,1,416
14.3,46,2,15,1,516
16.7,38,1,14,1,555
18.3,58,3,19,2,665
10.1,17,1,21,1,353
10.7,32,2,9,1,392
6.8,22,2,6,2,283
10.8,20,1,14,2,368
6.3,14,1,22,1,235
1.1,4,1,22,1,82
14.3,43,2,14,1,514
1.8,4,1,5,2,116
4.2,10,1,23,2,186
4.6,11,1,22,3,202
16.2,32,1,19,1,523
19.0,61,3,9,2,697
13.6,36,2,15,1,481
4.1,23,3,16,1,241
7.1,30,3,7,2,335
11.3,29,2,20,1,417
9.2,22,2,15,1,354
11.8,23,1,20,2,405
6.7,15,1,17,1,250
10.3,21,1,6,2,368
0.8,6,3,9,1,116
4.7,13,1,15,2,219
14.6,54,3,16,2,576
17.2,40,1,6,2,583
7.7,28,3,14,1,329
8.1,23,2,17,1,320
17.0,54,3,16,1,609
2.2,9,1,5,3,139
3.4,16,3,18,3,225
9.5,39,3,18,1,403
11.9,29,2,12,1,414
1.5,7,2,20,1,113
14.8,33,2,13,1,505
15.0,57,3,7,2,594
11.1,24,1,5,1,379
19.2,35,1,14,1,610
11.6,24,1,6,2,398
15.0,31,1,5,1,487
3.3,9,1,13,1,165
15.0,35,2,19,1,507
10.9,27,1,6,1,373
10.3,43,3,18,1,422
14.9,25,1,16,1,477
9.9,26,2,20,2,384
9.9,45,3,9,1,420
6.9,18,2,21,1,289
9.1,22,1,13,1,324
15.6,45,2,12,2,565
4.3,11,1,22,1,185
14.0,39,2,16,1,488
18.8,64,3,11,2,702
3.3,10,2,23,1,168
13.5,59,3,7,3,570
15.6,31,1,15,2,514
19.9,79,3,13,1,751
12.5,33,2,10,1,451
2.8,16,3,19,1,181
9.4,18,1,20,2,330
14.2,46,3,17,1,530
17.0,56,3,7,1,622
11.7,39,2,16,1,444
7.8,16,1,15,1,274
1.6,7,3,17,1,144
10.1,48,3,19,1,436
10.2,43,3,7,2,443
19.4,33,1,5,1,597
16.3,37,2,21,2,563
18.6,60,2,6,1,658
5.5,13,1,9,2,219
12.5,29,1,23,2,438
2.0,8,2,11,2,142
19.5,32,1,23,1,596
4.1,14,2,7,1,202
9.2,18,1,23,1,328
1.1,5,1,20,1,95
6.2,17,2,20,1,257
18.8,33,1,6,2,609
6.6,16,1,18,1,242
7.7,15,1,22,1,267
3.0,12,3,9,4,218
1.6,8,2,16,1,132
1.6,6,2,6,1,113
18.0,83,3,19,1,697
15.8,31,1,15,1,521
2.2,9,1,23,3,147
8.2,34,3,9,1,354
1.4,5,1,23,1,92
7.4,21,2,14,2,299
19.4,40,1,12,3,642
16.9,29,1,13,1,534
5.1,13,2,23,3,233
19.8,40,1,21,2,648
9.5,18,1,12,2,332
7.7,21,2,12,1,309
17.3,33,1,23,1,551
16.0,83,3,16,2,658
14.1,32,1,21,1,473
16.1,52,3,7,1,601
7.8,16,1,6,1,274
11.5,54,3,7,2,491
13.3,34,2,23,2,476
18.0,54,2,21,1,628
10.9,40,3,8,2,446
7.9,25,2,7,3,330
19.2,48,2,7,1,655
10.8,20,1,5,4,391
9.3,16,1,5,1,330
13.2,46,3,18,2,521
11.0,26,1,22,1,374
5.8,14,2,20,1,238
19.2,46,2,10,1,647
13.6,32,2,9,1,473
7.9,23,2,11,1,310
11.2,38,2,10,1,432
19.0,37,1,15,4,638
6.5,23,3,14,2,311
14.8,37,2,19,1,518
3.0,6,1,5,3,151
13.1,23,1,23,2,429
17.1,67,3,7,1,647
1.9,7,2,16,2,130
7.4,39,3,14,3,367
19.9,45,2,19,2,677
3.5,12,1,23,1,167
7.2,23,2,23,1,294
11.5,34,2,23,1,427
1.6,6,2,14,1,111
0.8,3,1,13,2,95
6.3,18,2,10,2,268
19.9,78,3,7,1,733
14.0,43,2,8,2,518
3.6,18,3,19,1,209
18.3,32,1,16,1,569
12.9,55,3,8,1,526
16.2,50,2,13,2,593
1.0,6,1,21,2,94
5.0,11,1,21,1,210
10.9,27,2,22,2,416
3.0,14,3,9,1,196
17.9,42,2,21,1,609
5.1,27,3,9,1,265
15.5,26,1,8,2,495
16.0,35,2,21,1,535
1.0,9,3,8,3,140
7.5,23,2,7,2,310
17.2,43,2,12,1,587
14.5,35,1,14,2,508
18.5,52,2,20,2,639
7.6,23,2,17,1,302
9.7,19,1,21,2,334
7.1,20,2,8,1,296
5.1,15,2,18,3,256
9.9,25,2,16,4,396
13.4,36,2,7,1,483
17.9,37,1,10,4,618
3.2,14,3,18,1,188
16.0,40,2,17,2,560
3.6,12,2,19,1,175
2.7,9,2,6,1,158
7.1,24,2,14,1,302
16.0,32,1,11,1,526
11.2,48,3,5,1,458
6.8,22,2,17,1,291
17.8,44,2,10,1,594
13.8,39,2,22,2,503
8.3,23,2,20,1,318
2.0,8,1,23,3,130
17.9,41,2,15,1,589
5.5,12,2,12,2,237
7.3,15,1,5,1,268
8.9,21,2,5,2,342
11.8,25,1,20,2,416
7.3,23,2,14,1,305
16.9,36,1,22,1,557
12.8,47,3,7,2,511
11.0,28,2,18,2,418
9.1,20,1,22,1,327
11.3,25,1,5,1,391
16.6,42,2,19,2,589
18.7,39,1,6,1,605
6.6,18,2,18,3,299
5.9,16,2,14,1,240
4.5,16,2,12,1,213
18.2,40,1,11,1,594
4.2,25,3,6,1,230
12.4,53,3,7,1,491
18.9,48,2,9,2,652
11.9,24,1,21,3,428
7.1,21,2,23,2,293
2.9,15,3,11,1,187
8.0,24,2,8,1,327
18.8,81,3,16,1,727
1.5,7,2,6,2,127
19.2,72,3,16,2,718
1.0,9,3,17,3,154
6.5,24,3,10,2,303
1.5,8,3,7,3,167
14.6,56,3,8,2,574
16.4,51,2,15,1,585
16.0,34,1,9,1,514
5.6,20,3,9,2,274
14.9,30,1,13,2,488
7.9,26,3,17,3,365
18.5,85,3,12,4,740
8.5,27,3,18,1,353
1.1,6,2,21,3,120
14.5,65,3,11,2,585
9.1,28,2,11,4,382
8.6,19,1,9,4,332
12.0,24,1,19,1,401
4.9,21,3,17,2,249
7.2,21,2,12,1,299
14.4,32,1,6,1,483
3.3,9,1,22,1,152
9.8,28,2,7,2,370
3.3,13,2,13,3,201
15.4,47,2,13,1,549
19.0,43,2,22,2,633
5.2,10,1,6,1,214
10.3,28,2,19,2,402
17.4,51,2,8,1,613
16.6,45,2,23,2,586
11.8,45,3,18,1,466
6.3,18,2,8,2,265
2.4,6,2,20,4,183
13.4,36,2,19,2,489
4.9,15,2,6,1,224
12.4,31,2,7,1,432
17.2,46,2,10,1,584
6.5,23,3,18,3,310
2.6,11,3,16,1,174
8.9,37,3,18,2,380
7.4,30,3,19,2,341
13.2,31,2,7,1,454
3.3,9,2,14,2,170
1.7,10,3,8,1,155
7.6,19,1,23,1,275
4.3,9,1,17,1,186
15.3,51,3,19,1,562
4.4,16,3,13,1,218
4.1,13,2,20,1,204
6.6,27,3,16,4,324
3.4,10,1,11,1,153
13.3,31,2,12,2,470
9.7,25,2,20,1,361
10.1,31,2,5,2,403
1.8,5,1,5,3,130
11.9,50,3,22,1,488
18.8,43,1,20,1,612
5.9,24,3,18,1,279
9.2,19,1,10,1,316
18.3,64,3,15,3,700
14.7,54,3,17,3,588
16.2,41,2,10,1,548
