distance_km,duration_min,traffic_level,hour,passenger_count,fare,eta_min
19.2,73,3,17,1,705,73.84
14.2,71,3,14,2,599,44.47
7.5,26,3,18,1,323,27.49
10.2,36,3,18,2,420,40.01
14.9,36,2,13,3,542,35.7
12.2,62,3,15,3,528,39.22
9.7,28,2,17,1,365,27.49
5.8,25,3,13,2,301,18.77
2.4,11,3,18,2,177,9.83
16.0,47,2,7,1,561,47.89
11.4,34,2,16,2,428,36.1
5.6,23,3,8,1,276,22.71
4.5,11,1,20,2,211,7.04
16.8,38,1,14,1,546,34.38
19.5,38,1,22,3,629,38.27
1.0,3,2,14,1,112,4.07
10.0,24,2,7,1,360,31.51
11.6,23,1,14,1,393,23.27
12.7,37,2,21,3,480,29.86
11.7,20,1,6,2,391,24.15
13.5,29,1,10,2,465,28.34
9.8,19,1,6,2,352,20.1
18.5,50,2,23,3,656,46.96
18.2,39,1,9,1,590,44.67
6.3,26,3,8,1,295,25.38
9.2,22,2,6,2,347,21.54
13.7,27,1,23,1,453,29.36
15.5,35,2,10,2,540,40.23
13.0,53,3,20,1,507,39.87
3.9,16,3,18,1,216,14.65
9.5,20,1,15,1,340,17.3
0.8,5,1,22,1,85,3.0
9.3,17,1,6,2,336,18.35
3.1,11,2,12,1,163,9.63
17.0,57,3,8,1,629,65.11
10.6,29,2,13,1,384,25.61
4.5,17,2,21,1,225,10.24
7.3,17,1,21,1,273,14.19
13.5,40,2,9,1,485,40.55
18.7,79,3,11,1,708,58.36
6.9,21,2,20,2,302,15.79
19.6,61,3,20,1,687,64.02
17.0,59,3,8,1,632,66.68
3.8,11,2,20,1,177,10.24
7.1,16,1,22,1,273,16.05
1.5,5,2,7,2,118,3.0
19.6,43,2,8,2,663,59.95
6.4,20,2,16,1,262,20.87
4.2,14,3,17,1,217,16.68
5.7,16,2,13,3,266,14.13
2.2,10,3,16,1,159,7.85
6.6,28,3,17,1,301,23.65
14.2,63,3,5,2,580,45.82
15.1,38,2,6,2,540,37.85
5.2,18,2,16,1,242,17.51
13.9,50,3,9,3,551,52.44
11.9,21,1,9,1,386,27.05
11.2,37,3,16,3,467,41.25
10.1,34,2,14,1,382,25.17
19.4,82,3,17,2,732,76.15
11.1,32,2,19,2,425,31.68
7.9,19,2,12,2,318,19.63
13.2,53,3,19,1,532,50.63
6.6,14,1,20,1,245,11.98
19.0,41,1,22,2,612,38.82
10.2,36,3,18,1,411,40.09
5.3,14,1,16,2,222,11.72
8.4,28,3,11,3,364,28.59
13.1,25,1,5,1,425,26.25
16.7,29,1,22,1,522,32.08
18.1,31,1,5,4,607,37.27
2.9,8,1,5,1,132,3.88
5.9,22,3,9,2,293,24.65
10.7,42,3,8,1,446,42.26
13.5,42,2,14,4,519,34.55
14.0,32,2,20,1,476,34.19
3.2,8,1,23,1,150,7.69
12.4,48,3,8,1,492,45.78
17.4,73,3,18,1,664,65.16
2.6,9,2,18,1,152,7.07
2.6,8,1,7,1,137,5.11
12.1,27,1,22,2,432,24.51
8.9,39,3,6,2,389,29.94
13.4,33,2,12,1,466,32.28
5.1,20,3,18,4,286,19.94
1.3,7,1,13,1,98,3.13
4.3,23,3,9,1,227,15.43
15.1,44,2,11,1,531,36.06
18.9,63,3,7,1,673,72.01
9.3,43,3,18,1,394,37.42
9.1,24,2,14,2,349,22.84
19.7,40,1,6,1,622,37.42
7.1,17,1,5,1,260,13.44
11.5,24,1,16,3,421,28.69
17.4,32,1,23,1,552,35.85
19.4,48,2,10,2,651,49.32
17.0,54,2,12,1,609,41.53
5.1,10,1,10,2,219,8.32
7.5,24,2,9,1,312,24.05
13.4,54,3,10,2,540,41.82
13.9,32,1,23,4,492,27.09
9.2,25,2,20,1,350,21.46
6.8,16,1,19,1,268,17.97
2.5,9,2,21,2,149,5.59
18.3,47,2,23,1,611,47.36
2.8,10,3,15,1,180,10.43
19.8,53,2,21,1,669,49.2
7.3,22,2,6,2,311,18.66
6.3,20,2,9,2,289,17.46
14.2,44,2,17,2,526,43.27
7.1,27,3,9,3,337,26.7
13.2,59,3,18,1,529,52.42
15.5,37,1,11,1,507,30.87
15.6,27,1,21,1,496,30.86
3.9,14,2,10,1,207,9.75
12.5,31,2,19,1,454,36.71
4.5,21,3,23,1,240,15.8
19.4,56,2,11,1,676,49.44
11.4,53,3,8,1,468,43.93
9.4,16,1,21,1,321,20.44
7.5,16,1,5,1,264,15.85
5.1,22,3,15,3,268,18.02
6.3,17,2,20,1,250,17.7
2.3,7,1,13,1,125,5.13
15.7,33,1,12,1,512,32.35
2.9,8,2,20,1,150,7.12
9.0,22,2,16,1,350,28.72
2.1,5,2,21,2,151,6.59
1.6,12,3,17,1,145,4.72
14.9,61,3,8,2,591,58.85
16.4,38,2,10,2,558,42.42
3.4,10,1,19,1,156,6.78
6.8,33,3,17,2,324,24.84
7.7,24,2,6,1,320,17.43
15.1,37,2,17,1,529,44.11
5.9,25,3,7,1,284,22.88
7.0,21,2,7,1,279,22.03
9.3,23,1,19,3,348,23.85
19.6,41,1,6,2,641,38.09
19.1,75,3,9,2,716,71.73
13.2,35,2,16,2,491,40.51
7.9,34,3,7,2,354,29.7
3.0,9,2,10,1,157,5.74
9.4,27,2,14,4,379,24.71
4.1,17,3,19,2,236,17.13
14.4,27,1,22,3,499,30.34
13.0,58,3,16,1,533,51.8
1.3,3,1,22,1,103,3.68
2.1,12,3,17,2,179,6.93
2.2,7,2,15,1,148,4.07
15.8,34,1,23,4,537,33.44
3.2,8,2,9,1,177,10.85
10.8,29,2,14,1,389,28.59
6.6,15,1,22,2,252,11.32
12.8,29,2,15,2,447,30.04
13.1,26,1,23,1,423,26.88
17.9,37,1,22,4,611,35.01
6.5,28,3,7,1,300,23.38
3.6,8,2,15,3,193,9.73
11.6,22,1,15,1,378,24.67
19.0,55,2,18,3,677,57.48
6.8,19,2,10,1,267,16.72
18.9,46,2,21,1,629,47.82
12.3,26,1,20,1,409,22.72
7.8,20,2,17,1,306,24.3
2.2,8,2,21,2,154,4.95
3.3,13,2,8,2,195,11.71
4.6,17,2,21,1,226,12.82
10.8,47,3,9,1,441,40.2
19.8,52,2,14,1,671,50.39
9.9,19,1,5,2,358,21.16
14.7,30,1,5,1,484,28.31
5.2,12,1,6,1,217,10.17
3.6,8,1,12,3,177,7.98
3.7,12,2,11,2,202,10.31
2.0,8,3,9,2,158,7.6
19.2,82,3,19,1,734,72.2
13.2,39,2,13,1,471,34.93
19.5,48,2,14,2,663,47.25
11.6,25,1,13,2,402,25.11
7.4,19,2,9,1,292,20.78
5.7,14,1,20,3,240,12.68
2.9,6,1,23,1,133,7.27
2.7,6,2,15,1,151,7.55
18.6,74,3,18,3,724,71.64
6.3,21,2,14,3,290,14.74
14.7,33,2,6,1,514,37.79
19.9,71,3,17,1,719,75.01
1.5,5,2,14,1,129,3.0
11.2,43,3,20,1,458,37.63
7.1,37,3,19,2,342,29.15
13.7,26,1,11,3,470,26.66
2.5,8,2,8,1,143,7.08
5.3,18,3,13,1,257,18.0
14.1,43,2,6,1,519,36.94
17.8,41,2,14,2,600,45.79
19.2,36,1,20,2,618,40.26
9.8,26,2,22,3,389,24.55
15.9,49,2,21,2,565,40.48
11.3,27,1,21,2,400,23.56
13.9,26,1,23,3,466,26.24
8.8,18,1,23,1,309,17.16
16.5,44,2,11,1,582,41.17
18.7,79,3,7,1,702,73.46
13.1,38,2,18,3,491,39.38
2.3,10,1,22,3,150,3.09
3.2,9,2,12,2,183,7.46
8.9,38,3,17,1,394,35.02
14.7,31,1,8,2,504,37.18
5.4,17,2,7,1,228,17.24
15.0,38,2,17,2,522,46.9
19.9,56,2,12,2,694,48.06
7.0,28,3,14,4,341,21.27
11.5,30,2,23,3,437,28.15
19.5,77,3,17,1,724,73.34
15.3,26,1,20,1,489,29.47
1.9,10,3,18,2,155,5.62
13.2,45,3,19,1,499,49.16
13.7,35,2,6,1,484,32.62
10.0,21,1,15,3,373,19.51
15.1,53,3,20,2,572,50.03
7.0,20,2,14,2,295,19.02
10.3,36,3,8,2,417,38.87
6.8,15,1,6,1,265,15.22
11.9,36,2,18,1,433,34.63
11.4,21,1,15,3,402,24.49
4.0,15,2,16,2,211,12.1
13.1,31,1,6,3,454,26.99
0.9,3,3,9,1,114,3.46
8.0,22,2,20,1,302,18.75
14.7,51,3,22,1,562,46.51
18.3,82,3,8,2,711,70.16
7.6,15,1,17,4,310,17.09
6.6,22,3,7,3,311,24.33
11.4,28,1,6,2,409,21.29
7.2,36,3,8,3,362,27.4
11.7,23,1,13,1,395,22.16
1.4,7,1,15,1,112,3.0
18.6,33,1,14,1,596,37.97
7.2,38,3,9,2,347,29.29
2.7,11,2,12,1,157,6.4
15.7,30,1,5,2,519,31.13
8.0,26,2,10,2,339,21.04
14.5,34,2,7,1,498,41.56
7.7,16,1,7,1,271,18.06
4.4,21,3,19,1,238,17.42
12.3,52,3,15,1,502,38.48
11.5,31,2,12,1,415,27.18
10.3,32,2,7,1,388,31.83
18.9,56,2,20,1,665,46.83
7.2,34,3,17,1,342,28.98
19.5,48,2,9,2,656,56.95
8.4,18,1,15,2,305,16.09
8.0,27,2,17,3,336,24.93
15.5,55,3,5,1,577,49.59
14.1,60,3,18,1,549,54.62
8.9,18,1,17,4,344,23.01
18.5,79,3,18,2,716,69.68
13.1,32,2,7,1,464,40.72
11.6,38,3,17,1,441,45.43
5.1,16,2,21,2,239,11.54
13.8,27,1,21,4,494,28.09
2.4,8,2,9,1,142,6.22
2.7,7,2,19,1,160,7.7
13.2,52,3,10,2,525,40.39
9.0,28,2,19,1,349,26.42
1.4,5,2,11,1,110,5.48
14.3,54,3,7,2,553,53.26
3.0,10,2,20,2,177,8.31
7.5,27,3,19,2,339,30.59
2.4,9,2,9,1,139,8.59
8.3,34,3,9,1,371,31.01
18.7,55,2,10,1,646,47.5
1.8,10,3,16,1,151,7.06
13.3,45,3,18,1,497,52.67
1.4,3,1,12,1,95,4.55
15.1,47,2,20,1,549,35.77
7.8,24,2,6,1,319,19.57
13.4,26,1,12,4,480,27.73
9.2,33,3,8,1,377,37.23
14.4,41,2,18,1,501,43.64
7.5,18,2,13,1,295,20.39
19.1,95,3,21,2,769,61.78
18.4,60,3,13,1,670,59.69
16.7,73,3,17,2,657,65.14
13.0,35,2,7,2,474,40.86
10.2,21,1,23,2,361,21.21
13.6,59,3,16,2,561,51.3
10.3,28,2,15,1,383,27.12
7.4,12,1,6,2,284,12.81
3.8,11,1,19,4,193,9.24
13.3,64,3,10,3,555,40.78
13.6,27,1,10,2,457,28.84
2.6,6,1,8,1,136,5.49
1.0,3,2,15,4,121,3.0
8.2,24,2,8,1,331,23.23
17.6,32,1,9,2,565,43.78
4.9,20,3,9,2,267,19.63
3.5,12,3,8,1,188,13.56
6.1,16,2,7,2,275,16.75
1.3,5,1,14,2,111,4.29
15.8,42,2,12,1,550,38.58
19.6,65,3,16,1,702,73.9
13.9,69,3,20,2,575,46.34
1.6,8,2,6,1,132,5.49
8.9,17,1,17,2,317,19.63
10.6,46,3,11,1,448,35.53
13.3,30,2,7,1,456,39.78
18.6,81,3,8,2,728,73.11
3.1,12,3,9,1,193,10.61
14.6,36,2,10,2,508,38.1
18.1,57,2,15,1,638,47.12
2.3,8,3,19,1,150,10.82
15.6,36,2,23,1,541,40.05
1.0,7,1,6,1,103,3.96
11.4,27,2,18,1,417,34.79
11.8,57,3,8,3,526,45.71
19.1,65,3,7,3,703,74.3
9.6,29,2,16,2,377,30.57
12.2,44,3,20,2,495,39.17
3.7,10,1,18,2,166,7.17
7.2,36,3,17,2,341,26.54
10.2,43,3,6,1,420,33.7
17.0,52,3,18,1,604,63.9
3.4,11,1,17,2,166,8.82
5.8,20,3,15,1,269,17.3
5.3,11,1,11,2,218,9.71
6.8,31,3,8,4,341,27.68
3.1,10,2,10,1,161,6.15
17.2,35,1,9,1,559,41.45
5.8,14,1,10,1,222,10.54
9.7,23,2,9,1,351,28.31
8.5,28,3,7,1,343,34.24
18.1,62,3,19,1,652,70.82
18.9,33,1,6,2,592,37.91
13.9,40,2,10,3,509,34.87
12.6,30,2,12,1,435,29.61
8.2,23,2,18,3,348,22.91
16.1,61,3,17,1,619,62.98
10.4,25,2,17,1,387,32.73
6.2,18,2,20,2,261,13.98
13.4,35,2,13,2,496,32.43
11.9,28,2,17,3,446,33.81
16.3,60,3,16,1,614,61.13
11.6,28,2,11,2,418,29.77
1.5,3,1,6,1,109,3.2
4.7,15,2,9,1,207,12.39
3.6,16,3,9,3,224,14.73
18.9,83,3,17,1,729,72.3
9.2,23,2,20,1,356,21.19
15.9,45,2,12,2,563,41.62
4.2,16,2,5,3,238,9.0
1.4,9,3,15,4,178,5.38
3.5,14,2,7,4,206,9.11
14.4,40,2,15,1,504,36.06
2.9,6,1,5,1,137,6.47
17.7,71,3,16,1,673,67.72
14.0,42,2,10,2,508,36.24
2.8,7,1,15,1,149,5.45
2.6,9,2,20,1,151,6.79
1.8,7,1,15,1,120,3.0
5.9,14,1,14,1,230,12.51
1.8,6,1,5,1,105,3.31
1.3,4,2,10,4,147,4.54
9.8,24,1,13,2,355,18.64
9.4,24,2,13,1,345,25.34
14.2,30,1,8,1,472,34.19
11.4,46,3,17,1,461,44.68
17.7,29,1,20,1,557,36.73
10.7,34,2,23,2,408,26.56
19.7,55,2,11,1,671,49.33
19.9,66,3,9,1,704,75.14
8.3,35,3,17,3,371,31.94
14.2,27,1,23,1,466,29.49
15.4,74,3,8,2,629,58.74
7.4,20,2,18,2,297,21.36
8.5,17,1,17,3,327,22.16
18.5,37,1,16,2,601,44.71
14.2,63,3,8,1,573,53.4
7.0,32,3,18,1,322,28.41
10.1,38,3,21,3,429,30.46
10.5,39,3,9,2,445,40.81
4.7,11,1,6,1,189,10.96
16.6,40,2,21,3,585,40.62
9.4,31,2,20,1,373,21.83
14.0,27,1,14,1,452,29.75
5.0,13,2,12,1,228,10.88
15.5,35,1,5,1,506,32.7
12.5,38,2,14,2,477,31.97
9.6,24,2,11,2,358,23.62
10.6,48,3,16,2,456,41.62
7.3,23,2,13,3,328,16.75
6.5,36,3,9,1,327,24.89
8.6,25,2,15,2,339,23.18
8.8,31,3,17,2,373,33.96
14.5,25,1,22,1,463,28.56
4.1,10,1,22,1,185,7.32
15.4,55,3,10,3,593,48.11
17.5,76,3,18,1,683,69.16
9.8,19,1,23,2,339,19.17
13.9,24,1,21,1,443,27.47
8.7,29,2,23,4,368,20.28
2.4,6,2,15,1,137,5.72
15.4,39,2,10,1,524,40.36
9.1,24,2,18,4,368,26.89
8.0,20,2,5,2,308,19.72
14.9,44,2,12,1,533,38.04
4.0,10,1,6,1,171,6.87
17.8,48,2,9,3,642,53.53
18.4,30,1,17,1,564,43.81
10.5,35,2,8,2,407,29.61
11.1,27,1,6,1,376,20.2
3.0,8,2,19,2,176,7.5
12.9,35,2,14,1,467,34.09
8.8,41,3,8,2,397,35.35
12.5,35,2,13,4,474,29.81
11.3,31,2,11,1,405,30.16
2.9,11,2,23,1,170,8.46
2.7,7,2,13,1,141,4.95
16.4,41,2,6,1,553,42.59
17.1,31,1,6,1,554,34.19
19.1,63,3,13,1,686,62.83
19.3,51,2,13,2,674,48.75
4.0,13,3,9,1,209,15.85
12.1,33,2,23,1,427,31.47
13.9,46,3,9,1,514,53.92
13.4,34,2,5,2,485,32.94
19.6,49,2,15,2,673,48.35
10.1,25,2,17,3,381,29.56
18.7,42,2,21,3,641,46.51
5.4,11,1,13,1,206,10.79
9.6,18,1,23,3,351,20.46
13.3,37,2,8,1,484,40.66
19.3,69,3,14,2,712,60.02
16.6,41,2,12,1,572,41.42
7.8,23,2,19,2,329,23.33
19.3,60,2,14,1,672,48.63
16.6,51,2,18,2,594,49.96
9.6,29,2,11,1,376,23.16
12.1,50,3,19,2,486,48.01
14.9,40,2,22,3,553,38.9
4.2,12,1,23,2,197,7.63
7.0,18,2,17,2,289,21.32
7.4,23,2,14,1,307,17.14
6.5,17,2,22,2,269,14.29
12.8,40,2,14,3,501,31.81
4.2,14,2,22,1,203,10.13
11.8,48,3,18,3,494,46.79
1.0,3,1,8,1,92,3.0
3.9,15,2,14,1,190,11.02
11.2,39,3,16,1,452,43.05
15.1,29,1,22,1,495,30.73
1.7,5,2,17,4,154,5.5
1.0,4,1,13,3,101,3.0
13.0,50,3,16,2,531,51.58
6.4,23,3,10,1,282,21.33
1.6,5,2,13,1,116,5.72
14.4,29,1,9,3,496,34.26
17.0,49,2,14,2,599,42.9
5.0,17,2,10,2,237,11.61
7.5,25,2,11,1,310,19.8
9.9,33,2,22,4,412,26.28
18.2,80,3,12,2,721,58.66
8.2,24,2,22,1,323,21.29
10.6,24,1,20,3,399,19.5
4.0,11,1,22,2,180,7.99
14.0,35,2,8,3,508,41.55
16.5,65,3,7,1,618,64.05
1.8,6,2,13,2,134,6.05
12.9,37,2,18,1,472,40.58
2.0,6,1,23,3,132,4.96
14.0,41,2,7,3,511,40.63
3.8,9,1,12,1,179,5.84
3.6,12,3,16,1,188,12.27
11.8,53,3,17,3,516,45.36
7.4,35,3,18,3,363,28.36
5.7,17,2,8,2,267,18.0
19.9,70,3,19,1,715,74.83
11.9,34,2,15,2,435,29.39
4.5,15,2,20,2,224,10.09
7.8,36,3,15,1,357,24.31
13.1,35,2,13,1,467,32.29
7.7,19,2,14,1,295,20.49
16.7,33,1,22,2,558,31.97
17.1,40,2,5,2,576,42.17
5.8,12,1,22,2,241,11.44
14.9,33,1,14,1,482,28.16
5.4,18,2,10,1,243,14.01
17.5,72,3,9,1,666,69.14
2.0,9,2,16,2,145,6.52
18.4,43,1,6,2,614,36.94
6.1,18,2,13,2,271,14.69
18.0,59,3,7,1,649,70.8
17.5,57,2,20,3,640,43.56
5.2,16,2,21,1,237,14.97
3.1,12,2,12,1,171,9.12
12.1,22,1,18,1,405,30.84
1.6,5,1,23,1,103,3.0
19.4,49,2,5,2,656,48.42
12.4,43,3,20,1,488,39.31
16.6,50,2,10,1,595,42.87
12.3,36,2,7,1,458,37.03
10.5,51,3,18,2,462,39.92
17.7,33,1,22,1,566,37.24
16.7,84,3,18,1,664,62.49
16.2,40,2,17,2,567,49.55
9.0,22,2,13,1,348,23.64
8.6,21,1,11,2,322,16.52
8.0,22,2,11,1,318,18.43
5.7,15,1,22,1,234,9.62
8.7,17,1,22,1,302,15.94
7.4,29,3,17,3,347,28.12
14.2,28,1,10,1,469,30.32
13.9,30,1,6,4,484,26.2
18.6,38,1,18,1,601,44.02
18.7,66,3,17,2,705,72.87
16.5,43,2,20,1,563,42.16
1.4,4,2,21,1,107,3.21
0.8,5,1,10,1,83,3.0
4.6,15,2,5,1,223,10.75
18.4,55,2,16,2,649,54.78
8.6,18,1,5,1,301,15.65
19.0,64,3,21,3,713,62.07
19.3,41,1,23,1,624,40.35
18.0,38,1,5,1,574,34.36
14.3,39,2,15,1,500,37.24
6.3,35,3,17,3,332,25.48
7.6,18,1,23,3,301,15.82
4.6,22,3,12,1,247,15.89
3.8,11,2,8,1,175,12.86
17.3,51,2,6,1,614,44.02
11.8,27,2,13,4,442,28.83
11.9,19,1,6,1,387,25.09
17.3,45,2,10,1,581,43.78
13.7,50,3,17,1,529,51.62
5.4,26,3,20,1,270,18.18
15.2,69,3,16,1,605,59.33
5.2,23,3,8,2,264,19.17
16.2,64,3,9,1,627,62.31
12.9,37,2,22,2,478,32.7
8.4,19,1,10,2,312,16.65
7.2,18,2,16,2,294,23.43
7.5,23,2,11,2,308,17.09
7.0,17,2,21,2,284,16.41
12.9,42,3,9,2,504,49.8
8.6,20,1,7,1,315,22.27
12.4,29,2,17,1,440,37.04
19.3,56,2,18,3,679,57.6
15.1,48,2,7,1,543,44.33
1.8,12,3,17,4,174,7.85
18.7,54,2,17,1,637,57.04
16.9,32,1,5,1,541,35.15
17.5,41,2,13,1,592,45.36
9.6,22,1,23,2,349,19.53
5.2,16,2,7,1,220,14.13
16.5,54,2,9,1,601,51.03
10.0,28,2,5,2,387,24.95
4.4,11,1,22,1,195,7.91
5.0,16,2,7,1,234,15.27
13.9,39,2,14,2,495,35.46
3.4,18,3,8,2,209,13.43
1.2,5,3,6,1,116,3.0
9.2,18,1,5,1,316,18.39
16.1,70,3,16,2,648,61.9
1.9,8,1,17,1,126,3.0
16.7,71,3,8,2,648,64.67
19.9,54,2,11,2,685,49.69
13.9,51,3,14,1,536,44.17
3.1,11,2,20,1,163,6.17
3.0,9,2,18,1,170,9.76
1.0,3,1,6,2,102,3.51
5.6,14,1,20,2,236,12.56
1.9,10,3,9,2,174,7.24
15.9,74,3,16,1,627,60.89
3.4,10,1,6,1,153,8.5
4.4,13,2,16,1,215,15.01
3.9,9,1,21,1,159,6.81
13.1,48,3,17,3,531,49.92
7.0,30,3,7,2,330,28.85
11.4,26,1,14,2,392,20.85
16.8,49,2,9,1,577,51.63
13.1,46,3,17,2,511,51.2
12.4,26,1,7,3,445,28.35
9.8,20,1,6,2,357,18.99
1.9,5,2,13,2,131,3.33
10.8,51,3,8,2,461,41.54
12.8,33,2,10,2,468,30.13
13.8,64,3,18,1,554,52.87
3.8,19,3,19,3,246,14.0
8.7,40,3,18,1,380,34.3
11.4,25,2,13,1,394,28.26
6.3,14,1,5,4,264,13.79
17.2,43,2,5,3,606,43.67
11.8,23,1,23,1,393,25.12
12.0,24,1,12,1,396,22.23
2.3,9,2,15,1,147,5.51
18.2,38,1,14,2,606,34.85
7.2,17,2,18,3,308,20.01
12.4,29,1,5,2,429,26.34
11.6,38,2,15,1,433,29.77
9.4,20,1,23,1,321,17.55
2.4,9,2,23,2,156,4.07
14.2,59,3,9,1,559,53.45
19.9,35,1,21,1,633,38.51
2.5,10,2,18,1,141,6.12
6.7,27,3,16,4,326,24.65
16.5,39,2,11,1,566,41.01
5.5,31,3,9,3,295,19.6
9.4,21,1,5,2,348,19.13
11.3,50,3,9,2,478,42.17
5.7,10,1,6,2,231,12.09
1.0,5,3,17,2,121,4.73
6.4,14,2,17,1,254,18.51
17.4,31,1,22,1,557,33.79
1.6,3,1,21,1,105,3.0
7.6,18,1,14,4,314,15.06
17.7,50,2,5,3,630,44.32
3.4,14,3,17,2,206,14.01
11.8,51,3,18,3,495,47.02
3.5,13,2,22,1,193,9.17
18.3,88,3,18,4,759,69.21
6.9,18,1,22,2,265,14.75
1.4,8,3,15,1,146,5.36
18.0,37,1,13,1,591,35.74
12.6,25,1,23,2,420,27.05
15.8,55,3,9,2,608,61.74
10.2,31,2,9,1,397,30.78
19.0,44,2,12,4,673,45.89
19.7,46,2,20,3,681,51.18
12.5,41,3,17,1,480,48.73
13.1,22,1,6,1,438,28.09
10.8,47,3,17,1,460,40.92
4.4,12,2,19,1,202,14.83
12.6,35,2,6,3,465,30.69
10.4,25,2,10,3,398,25.07
9.5,25,2,10,3,368,24.27
7.0,22,2,10,1,286,18.66
10.9,40,3,17,4,469,41.25
1.6,6,3,10,2,156,5.16
4.2,9,1,6,1,181,8.75
3.1,10,3,9,1,182,10.7
10.4,24,1,5,1,362,20.05
9.3,19,1,5,2,343,19.58
1.7,4,1,9,1,107,3.4
12.4,49,3,15,1,497,38.71
12.5,35,2,23,1,463,32.21
2.6,8,1,14,3,164,3.84
2.0,7,1,20,2,130,3.3
14.2,30,1,6,2,480,29.37
14.0,41,2,14,3,525,34.79
18.6,38,1,23,2,615,36.8
5.3,29,3,14,1,266,15.32
17.1,45,2,18,1,576,51.28
4.7,12,1,14,1,203,11.13
3.0,5,1,15,2,142,4.33
7.1,27,3,15,1,308,21.01
3.8,19,3,19,2,226,14.63
15.1,32,1,21,2,499,30.23
14.0,25,1,16,1,452,34.66
11.1,31,2,10,1,416,27.04
14.3,46,2,15,1,516,34.37
16.7,38,1,14,1,555,33.44
18.3,58,3,19,2,665,69.21
10.1,17,1,21,1,353,20.04
10.7,32,2,9,1,392,30.92
6.8,22,2,6,2,283,15.54
10.8,20,1,14,2,368,21.81
6.3,14,1,22,1,235,12.42
1.1,4,1,22,1,82,3.0
14.3,43,2,14,1,514,35.99
1.8,4,1,5,2,116,3.0
4.2,10,1,23,2,186,8.46
4.6,11,1,22,3,202,10.67
16.2,32,1,19,1,523,39.53
19.0,61,3,9,2,697,74.79
13.6,36,2,15,1,481,35.04
4.1,23,3,16,1,241,13.88
7.1,30,3,7,2,335,25.36
11.3,29,2,20,1,417,26.89
9.2,22,2,15,1,354,22.43
11.8,23,1,20,2,405,22.41
6.7,15,1,17,1,250,15.7
10.3,21,1,6,2,368,22.32
0.8,6,3,9,1,116,3.0
4.7,13,1,15,2,219,7.42
14.6,54,3,16,2,576,57.86
17.2,40,1,6,2,583,33.16
7.7,28,3,14,1,329,24.71
8.1,23,2,17,1,320,24.62
17.0,54,3,16,1,609,65.11
2.2,9,1,5,3,139,3.0
3.4,16,3,18,3,225,11.66
9.5,39,3,18,1,403,37.8
11.9,29,2,12,1,414,30.37
1.5,7,2,20,1,113,3.18
